Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,result
283,1902_01_TeamMG_TeamA3,74,19,74,2211693,2,3,steal E6
284,1902_01_TeamMG_TeamA3,74,19,74,2212943,6,9,""""
719,1902_01_TeamMG_TeamA3,186,46,186,5896443,2,3,steal ball bounce
720,1902_01_TeamMG_TeamA3,186,46,186,5897193,255,16,""""
410,1902_02_TeamMG_TeamA3,114,27,114,3895319,2,3,single
411,1902_02_TeamMG_TeamA3,114,27,114,3896469,4,2,""""
464,1902_03_TeamMG_TeamA3,117,33,117,3827096,2,3,???
465,1902_03_TeamMG_TeamA3,117,33,117,3828246,4,2,""""
1094,1902_03_TeamMG_TeamA3,271,71,271,9737296,2,3,single
1095,1902_03_TeamMG_TeamA3,271,71,271,9737896,255,16,""""
74,1902_05_TeamML_TeamB,17,5,17,478429,2,3,steal ball bounce
75,1902_05_TeamML_TeamB,17,5,17,480179,255,16,""""
45,1902_08_TeamMJ_TeamB,12,3,12,284144,2,3,steal 2B
46,1902_08_TeamMJ_TeamB,12,3,12,285444,6,2,""""
312,1902_08_TeamMJ_TeamB,80,21,80,2886494,2,3,steal 2B
313,1902_08_TeamMJ_TeamB,80,21,80,2887744,4,2,""""
397,1902_08_TeamMJ_TeamB,103,26,103,3771494,2,3,steal 2B
398,1902_08_TeamMJ_TeamB,103,26,103,3772844,6,2,""""
650,1902_08_TeamMJ_TeamB,169,43,169,6559744,2,3,steal 2B
651,1902_08_TeamMJ_TeamB,169,43,169,6560994,6,9,""""
850,1902_08_TeamMJ_TeamB,222,56,222,8462144,2,3,caught stealing
851,1902_08_TeamMJ_TeamB,222,56,222,8463344,4,2,""""
1421,1902_08_TeamMJ_TeamB,369,99,369,14182205,2,3,caught stealing
1422,1902_08_TeamMJ_TeamB,369,99,369,14183305,6,2,""""
933,1902_09_TeamMJ_TeamB,252,70,252,9347905,2,3,steal x2 E4
934,1902_09_TeamMJ_TeamB,252,70,252,9349105,4,9,""""
981,1902_09_TeamMJ_TeamB,264,71,264,9833555,2,3,steal x2 ball bounce
982,1902_09_TeamMJ_TeamB,264,71,264,9834805,255,16,""""
1096,1902_09_TeamMJ_TeamB,296,80,296,11092755,2,3,steal 2B
1097,1902_09_TeamMJ_TeamB,296,80,296,11093955,4,2,""""
768,1902_10_TeamMI_TeamA3,199,54,199,7132081,2,3,steal 2B ball bounce
769,1902_10_TeamMI_TeamA3,199,54,199,7132981,255,16,""""
94,1902_11_TeamMI_TeamA3,25,6,25,747102,2,3,steal 2B
95,1902_11_TeamMI_TeamA3,25,6,25,748252,6,2,""""
770,1902_11_TeamMI_TeamA3,205,48,205,6867852,2,3,double
771,1902_11_TeamMI_TeamA3,205,48,205,6868802,255,16,""""
231,1902_12_TeamMI_TeamA3,61,17,61,1943454,2,3,caught stealing
232,1902_12_TeamMI_TeamA3,61,17,61,1944504,255,16,""""
357,1902_13_TeamMD_TeamA2,86,28,86,3133230,2,3,steal 2B
358,1902_13_TeamMD_TeamA2,86,28,86,3134580,4,2,""""
282,1902_13_TeamMK_TeamB,66,21,66,2385710,2,3,caught stealing? SO/TO
283,1902_13_TeamMK_TeamB,66,21,66,2387060,4,2,""""
608,1902_15_TeamMK_TeamB,155,43,155,5137914,2,3,steal x2 ball bounce
609,1902_15_TeamMK_TeamB,155,43,155,5138664,255,16,""""
184,1902_16_TeamMD_TeamA2,49,14,49,1566723,2,3,caught stealing
185,1902_16_TeamMD_TeamA2,49,14,49,1567873,6,2,""""
752,1902_16_TeamMD_TeamA2,198,52,198,6675566,2,3,caught stealing
753,1902_16_TeamMD_TeamA2,198,52,198,6676816,6,2,""""
765,1902_17_TeamMB_TeamA1,184,50,185,6502518,2,3,caught stealing
766,1902_17_TeamMB_TeamA1,184,50,185,6503768,4,2,""""
747,1902_18_TeamMB_TeamA1,187,51,187,6780404,2,3,steal 2B
748,1902_18_TeamMB_TeamA1,187,51,187,6781604,6,2,""""
113,1902_19_TeamME_TeamA2,34,7,34,1004002,2,3,steal 2B
114,1902_19_TeamME_TeamA2,34,7,34,1005252,6,2,""""
591,1902_20_TeamME_TeamA2,146,42,146,5243578,2,3,double
592,1902_20_TeamME_TeamA2,146,42,146,5244978,6,2,""""
815,1902_20_TeamME_TeamA2,204,55,204,7670828,2,3,single
816,1902_20_TeamME_TeamA2,204,55,204,7672028,6,2,""""
701,1902_21_TeamME_TeamA2,172,52,172,6123608,2,3,steal 2B
702,1902_21_TeamME_TeamA2,172,52,172,6124808,6,2,""""
467,1902_22_TeamMA_TeamA1,117,33,117,4072490,2,3,steal 2B
468,1902_22_TeamMA_TeamA1,117,33,117,4073690,6,2,""""
298,1902_23_TeamMA_TeamA1,80,20,80,2462038,2,3,caught stealing
299,1902_23_TeamMA_TeamA1,80,20,80,2463238,6,2,""""
379,1902_23_TeamMA_TeamA1,99,26,99,3241388,2,3,single
380,1902_23_TeamMA_TeamA1,99,26,99,3242588,4,2,""""
888,1902_23_TeamMA_TeamA1,240,62,240,8676988,2,3,hold at 1B
889,1902_23_TeamMA_TeamA1,240,62,240,8678388,4,2,""""
137,1902_24_TeamMA_TeamA1,34,8,34,924455,2,3,steal 2B
138,1902_24_TeamMA_TeamA1,34,8,34,925643,4,2,""""
759,1902_24_TeamMA_TeamA1,198,49,198,6683741,2,3,single
