Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,result,reqd timestamp
850,1902_08_TeamMJ_TeamB,222,56,222,8462144,2,3,caught stealing,8460894
851,1902_08_TeamMJ_TeamB,222,56,222,8463344,4,2,"""",
1421,1902_08_TeamMJ_TeamB,369,99,369,14182205,2,3,caught stealing,14179505
1422,1902_08_TeamMJ_TeamB,369,99,369,14183305,6,2,"""",
231,1902_12_TeamMI_TeamA3,61,17,61,1943454,2,3,caught stealing,1942204
232,1902_12_TeamMI_TeamA3,61,17,61,1944504,4,2,"""",
184,1902_16_TeamMD_TeamA2,49,14,49,1566723,2,3,caught stealing,1565423
185,1902_16_TeamMD_TeamA2,49,14,49,1567873,6,2,"""",
752,1902_16_TeamMD_TeamA2,198,52,198,6675566,2,3,caught stealing,6674266
753,1902_16_TeamMD_TeamA2,198,52,198,6676816,6,2,"""",
765,1902_17_TeamMB_TeamA1,184,50,185,6502518,2,3,caught stealing,6501318
766,1902_17_TeamMB_TeamA1,184,50,185,6503768,4,2,"""",
298,1902_23_TeamMA_TeamA1,80,20,80,2462038,2,3,caught stealing,2460888
299,1902_23_TeamMA_TeamA1,80,20,80,2463238,6,2,"""",
412,1903_05_TeamND_TeamA2,114,26,114,3323062,2,3,caught stealing,3321962
413,1903_05_TeamND_TeamA2,114,26,114,3324362,6,2,"""",
521,1903_23_TeamNA_TeamA1,137,37,141,4333394,2,3,caught stealing,4332094
522,1903_23_TeamNA_TeamA1,137,37,141,4334644,4,2,"""",
285,1903_30_TeamNF_TeamA2,77,19,77,2210347,2,3,caught stealing,2209197
286,1903_30_TeamNF_TeamA2,77,19,77,2211547,4,2,"""",
743,1903_30_TeamNF_TeamA2,195,49,195,6084447,2,3,caught stealing,6083297
744,1903_30_TeamNF_TeamA2,195,49,195,6085647,6,2,"""",
111,1903_31_TeamNB_TeamA1,25,8,25,824592,2,3,caught stealing,820292
112,1903_31_TeamNB_TeamA1,25,8,25,825792,6,2,"""",
