game_str,timestamp,play_id,player_position,field_x,field_y,plot_x,plot_y
1902_01_TeamMG_TeamA3,2210493,74,4,102.0639,166.9986,0.35155343333333333,0.5752174
1902_01_TeamMG_TeamA3,2210493,74,6,12.3105,149.6286,0.042402833333333334,0.5153874
1902_01_TeamMG_TeamA3,5893543,186,4,25.1226,154.7421,0.0865334,0.5330005666666666
1902_01_TeamMG_TeamA3,5893543,186,6,-42.1482,141.2052,-0.14517713333333335,0.48637346666666664
1902_05_TeamML_TeamB,477129,17,4,20.3007,139.209,0.06992463333333333,0.47949766666666666
1902_05_TeamML_TeamB,477129,17,6,-30.0114,137.1759,-0.1033726,0.47249476666666673
1902_08_TeamMJ_TeamB,283044,12,4,39.4593,136.7232,0.13591536666666665,0.47093546666666664
1902_08_TeamMJ_TeamB,283044,12,6,-26.5929,138.6159,-0.09159776666666666,0.4774547666666667
1902_08_TeamMJ_TeamB,2885344,80,4,5.0652,147.9978,0.0174468,0.5097702000000001
1902_08_TeamMJ_TeamB,2885344,80,6,-51.5607,136.0347,-0.17759796666666666,0.4685639666666666
1902_08_TeamMJ_TeamB,3770444,103,4,36.3474,134.058,0.1251966,0.4617553333333333
1902_08_TeamMJ_TeamB,3770444,103,6,-29.8017,133.1637,-0.1026503,0.4586749666666667
1902_08_TeamMJ_TeamB,6558644,169,4,52.6551,139.0287,0.18136756666666665,0.4788766333333333
1902_08_TeamMJ_TeamB,6558644,169,6,-28.8861,138.0603,-0.09949656666666666,0.47554103333333336
1902_09_TeamMJ_TeamB,9346655,252,4,22.9185,136.9932,0.07894150000000001,0.4718654666666667
1902_09_TeamMJ_TeamB,9346655,252,6,-37.1247,136.4787,-0.12787396666666664,0.4700933
1902_09_TeamMJ_TeamB,9832205,264,4,35.4558,133.2342,0.12212553333333334,0.45891779999999993
1902_09_TeamMJ_TeamB,9832205,264,6,-26.0613,140.0913,-0.08976669999999999,0.4825367
1902_09_TeamMJ_TeamB,11091405,296,4,13.8663,145.7544,0.047761700000000004,0.5020429333333334
1902_09_TeamMJ_TeamB,11091405,296,6,-49.1823,136.6797,-0.1694057,0.47078563333333334
1902_10_TeamMI_TeamA3,7130931,199,4,8.1216,145.2315,0.027974400000000003,0.5002418333333334
1902_10_TeamMI_TeamA3,7130931,199,6,-40.2138,133.8606,-0.1385142,0.4610754
1902_11_TeamMI_TeamA3,745902,25,4,43.5729,136.3602,0.15008443333333332,0.4696851333333333
1902_11_TeamMI_TeamA3,745902,25,6,-13.3614,145.3047,-0.0460226,0.5004939666666667
1902_13_TeamMD_TeamA2,3128130,86,4,22.5105,139.9353,0.07753616666666667,0.4819993666666667
1902_13_TeamMD_TeamA2,3128130,86,6,-32.5716,136.7514,-0.11219106666666666,0.47103259999999997
1902_15_TeamMK_TeamB,5135514,155,4,12.0276,144.2559,0.0414284,0.49688143333333334
1902_15_TeamMK_TeamB,5135514,155,6,-34.9869,132.8535,-0.12051043333333333,0.45760649999999997
1902_18_TeamMB_TeamA1,6778904,187,4,36.75,133.3473,0.12658333333333333,0.4593073666666666
1902_18_TeamMB_TeamA1,6778904,187,6,-20.391,130.6842,-0.07023566666666665,0.4501344666666667
1902_19_TeamME_TeamA2,1002702,34,4,43.4082,135.0351,0.14951713333333333,0.4651209
1902_19_TeamME_TeamA2,1002702,34,6,-21.4176,140.7447,-0.07377173333333334,0.4847873
