Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,result
283,1902_01_TeamMG_TeamA3,74,19,74,2211693,2,3,steal E6
284,1902_01_TeamMG_TeamA3,74,19,74,2212943,6,9,""""
719,1902_01_TeamMG_TeamA3,186,46,186,5896443,2,3,steal ball bounce
720,1902_01_TeamMG_TeamA3,186,46,186,5897193,255,16,""""
74,1902_05_TeamML_TeamB,17,5,17,478429,2,3,steal ball bounce
75,1902_05_TeamML_TeamB,17,5,17,480179,255,16,""""
45,1902_08_TeamMJ_TeamB,12,3,12,284144,2,3,steal 2B
46,1902_08_TeamMJ_TeamB,12,3,12,285444,6,2,""""
312,1902_08_TeamMJ_TeamB,80,21,80,2886494,2,3,steal 2B
313,1902_08_TeamMJ_TeamB,80,21,80,2887744,4,2,""""
397,1902_08_TeamMJ_TeamB,103,26,103,3771494,2,3,steal 2B
398,1902_08_TeamMJ_TeamB,103,26,103,3772844,6,2,""""
650,1902_08_TeamMJ_TeamB,169,43,169,6559744,2,3,steal 2B
651,1902_08_TeamMJ_TeamB,169,43,169,6560994,6,9,""""
933,1902_09_TeamMJ_TeamB,252,70,252,9347905,2,3,steal x2 E4
934,1902_09_TeamMJ_TeamB,252,70,252,9349105,4,9,""""
981,1902_09_TeamMJ_TeamB,264,71,264,9833555,2,3,steal x2 ball bounce
982,1902_09_TeamMJ_TeamB,264,71,264,9834805,255,16,""""
1096,1902_09_TeamMJ_TeamB,296,80,296,11092755,2,3,steal 2B
1097,1902_09_TeamMJ_TeamB,296,80,296,11093955,4,2,""""
768,1902_10_TeamMI_TeamA3,199,54,199,7132081,2,3,steal 2B ball bounce
769,1902_10_TeamMI_TeamA3,199,54,199,7132981,255,16,""""
94,1902_11_TeamMI_TeamA3,25,6,25,747102,2,3,steal 2B
95,1902_11_TeamMI_TeamA3,25,6,25,748252,6,2,""""
357,1902_13_TeamMD_TeamA2,86,28,86,3133230,2,3,steal 2B
358,1902_13_TeamMD_TeamA2,86,28,86,3134580,4,2,""""
608,1902_15_TeamMK_TeamB,155,43,155,5137914,2,3,steal x2 ball bounce
609,1902_15_TeamMK_TeamB,155,43,155,5138664,255,16,""""
747,1902_18_TeamMB_TeamA1,187,51,187,6780404,2,3,steal 2B
748,1902_18_TeamMB_TeamA1,187,51,187,6781604,6,2,""""
113,1902_19_TeamME_TeamA2,34,7,34,1004002,2,3,steal 2B
114,1902_19_TeamME_TeamA2,34,7,34,1005252,6,2,""""
701,1902_21_TeamME_TeamA2,172,52,172,6123608,2,3,steal 2B
702,1902_21_TeamME_TeamA2,172,52,172,6124808,6,2,""""
467,1902_22_TeamMA_TeamA1,117,33,117,4072490,2,3,steal 2B
468,1902_22_TeamMA_TeamA1,117,33,117,4073690,6,2,""""
137,1902_24_TeamMA_TeamA1,34,8,34,924455,2,3,steal 2B
138,1902_24_TeamMA_TeamA1,34,8,34,925643,4,2,""""
303,1902_26_TeamMH_TeamA3,71,22,71,2314006,2,3,steal 2B
304,1902_26_TeamMH_TeamA3,71,22,71,2315256,6,2,""""
518,1902_26_TeamMH_TeamA3,122,34,122,3834356,2,3,steal 2B
519,1902_26_TeamMH_TeamA3,122,34,122,3835406,4,2,""""
565,1902_26_TeamMH_TeamA3,135,37,135,4286856,2,3,steal x2
566,1902_26_TeamMH_TeamA3,135,37,135,4288006,6,2,""""
323,1902_27_TeamMH_TeamA3,88,22,88,3058072,2,3,steal 2B
324,1902_27_TeamMH_TeamA3,88,22,88,3059272,6,2,""""
582,1902_28_TeamMC_TeamA1,147,39,147,5484005,2,3,steal 2B
583,1902_28_TeamMC_TeamA1,147,39,147,5485355,6,2,""""
1008,1903_01_TeamNE_TeamA2,259,68,260,8543966,2,3,steal 2B
1009,1903_01_TeamNE_TeamA2,259,68,260,8545286,4,2,""""
1095,1903_01_TeamNE_TeamA2,284,73,285,9426222,2,3,steal 2B
1096,1903_01_TeamNE_TeamA2,284,73,285,9427509,4,2,""""
1160,1903_01_TeamNE_TeamA2,301,77,302,10022862,2,3,steal 2B
1161,1903_01_TeamNE_TeamA2,301,77,302,10024149,6,2,""""
291,1903_05_TeamND_TeamA2,78,19,78,2194662,2,3,steal x2 ball bounce
292,1903_05_TeamND_TeamA2,78,19,78,2195762,255,16,""""
557,1903_06_TeamND_TeamA2,141,43,143,4570374,2,3,steal x2
558,1903_06_TeamND_TeamA2,141,43,143,4571374,4,2,""""
388,1903_07_TeamND_TeamA2,101,25,102,2933473,2,3,steal 2B
389,1903_07_TeamND_TeamA2,101,25,102,2934773,6,2,""""
796,1903_09_TeamNJ_TeamB,209,57,212,8075965,2,3,steal 2B
797,1903_09_TeamNJ_TeamB,209,57,212,8077165,6,2,""""
463,1903_11_TeamNC_TeamA1,114,33,115,9263436,2,3,steal x2
464,1903_11_TeamNC_TeamA1,114,33,115,9264486,255,16,""""
489,1903_11_TeamNC_TeamA1,117,34,118,9354386,2,3,steal 2B
490,1903_11_TeamNC_TeamA1,117,34,118,9355486,6,2,""""
739,1903_13_TeamNG_TeamA3,215,55,215,7247834,2,3,steal 2B
740,1903_13_TeamNG_TeamA3,215,55,215,7249034,6,2,""""
400,1903_14_TeamNG_TeamA3,106,36,106,4280782,2,3,steal 2B
401,1903_14_TeamNG_TeamA3,106,36,106,4281782,6,2,""""
